LOC119724510	T-box protein 1
LOC119718770	neuromedin-U receptor 2-like
LOC119718771	proton-associated sugar transporter A-like
LOC119718772	glutathione S-transferase A4-like
LOC119718773	semaphorin-5A-like
LOC119718774	thyrotropin-releasing hormone receptor-like
LOC119718775	galanin receptor 2a-like
LOC119718776	MAM and LDL-receptor class A domain-containing protein 2-like
LOC119718777	fatty acid-binding protein, liver-like
LOC119718778	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1-like
LOC119718779	sialidase-3-like
LOC119718780	cytochrome P450 2J6-like
LOC119718781	serine hydroxymethyltransferase, mitochondrial-like
LOC119718782	phosphoserine aminotransferase-like
LOC119718783	COMM domain-containing protein 4-like
LOC119718784	uncharacterized LOC119718784
LOC119718785	allatostatin-A receptor-like
LOC119718786	collagen alpha-1(X) chain-like
LOC119718787	WD repeat and HMG-box DNA-binding protein 1-like
LOC119718789	adhesion G-protein coupled receptor G6-like
LOC119718790	centromere/kinetochore protein zw10 homolog
LOC119718791	major facilitator superfamily domain-containing protein 6-A-like
LOC119718792	putative transferase CAF17 homolog, mitochondrial
LOC119718795	uncharacterized LOC119718795
LOC119718796	centromere/kinetochore protein zw10 homolog
LOC119718798	arrestin domain-containing protein 17-like
LOC119718799	blastula protease 10-like
LOC119718800	centromere/kinetochore protein zw10 homolog
LOC119718801	complement C1q subcomponent subunit B-like
LOC119718804	mitochondrial sodium/calcium exchanger protein-like
LOC119718806	proto-oncogene tyrosine-protein kinase ROS-like
LOC119718807	yrdC domain-containing protein, mitochondrial-like
LOC119718808	protein D2-like
LOC119718810	tumor necrosis factor receptor superfamily member 16-like
LOC119718811	arginine/serine-rich protein PNISR-like
LOC119718812	armadillo repeat-containing protein 2-like
LOC119718813	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase 1-like
LOC119718814	tRNA (uracil-5-)-methyltransferase homolog A-like
LOC119718815	collagen alpha-1(X) chain-like
LOC119718818	trypsin alpha-3-like
LOC119718819	uncharacterized LOC119718819
LOC119718822	sodium/iodide cotransporter-like
LOC119718823	endoribonuclease YbeY-like
LOC119718824	uncharacterized LOC119718824
LOC119718825	uncharacterized LOC119718825
LOC119718826	15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like
LOC119718827	15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like
LOC119718828	solute carrier organic anion transporter family member 2A1-like
LOC119718829	cytochrome P450 3A18-like
LOC119718830	cytidine deaminase-like
LOC119718831	ankyrin repeat domain-containing protein 34C-like
LOC119718832	uncharacterized LOC119718832
LOC119718833	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3
LOC119718834	uncharacterized LOC119718834
LOC119718835	uncharacterized LOC119718835
LOC119718837	UDP-N-acetylglucosamine transferase subunit ALG13 homolog
LOC119718838	ovomucoid-like
LOC119718840	uncharacterized LOC119718840
LOC119718841	uncharacterized LOC119718841
LOC119718842	complement C1q tumor necrosis factor-related protein 2-like
LOC119718843	uncharacterized LOC119718843
LOC119718844	63 kDa sperm flagellar membrane protein-like
LOC119718845	caprin-2-like
LOC119718846	tetratricopeptide repeat protein 22-like
LOC119718847	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1
LOC119718849	probable E3 ubiquitin-protein ligase HERC1
LOC119718851	uncharacterized LOC119718851
LOC119718852	glutamate decarboxylase 1-like
LOC119718853	adenosine receptor A2b-like
LOC119718854	probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial
LOC119718856	protein lin-52 homolog
LOC119718857	muscarinic acetylcholine receptor M2-like
LOC119718858	muscarinic acetylcholine receptor M2-like
LOC119718859	3-hydroxybutyrate dehydrogenase type 2-like
LOC119718860	uncharacterized LOC119718860
LOC119718862	RING finger protein nhl-1-like
LOC119718863	branched-chain-amino-acid aminotransferase-like protein 1
LOC119718864	pyridoxal kinase-like
LOC119718865	PEST proteolytic signal-containing nuclear protein-like
LOC119718866	uncharacterized LOC119718866
LOC119718868	uncharacterized LOC119718868
LOC119718870	uncharacterized LOC119718870
LOC119718871	protein NLRC5-like
LOC119718872	elongation factor-like GTPase 1
LOC119718873	tumor necrosis factor receptor superfamily member 1B-like
LOC119718874	histamine H3 receptor-like
LOC119718875	collagen alpha-1(X) chain-like
LOC119718877	monocarboxylate transporter 12-like
LOC119718879	monocarboxylate transporter 11-like
LOC119718880	dnaJ homolog subfamily C member 17-like
LOC119718881	regulator of microtubule dynamics protein 3-like
LOC119718882	GTP cyclohydrolase 1 feedback regulatory protein-like
LOC119718883	uncharacterized LOC119718883
LOC119718884	metabotropic glutamate receptor 5-like
LOC119718885	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1-like
LOC119718887	solute carrier family 46 member 3-like
LOC119718888	2'-5'-oligoadenylate synthase 2-like
LOC119718889	serine/threonine-protein kinase mTOR-like
LOC119718891	potassium channel subfamily K member 2-like
LOC119718892	potassium channel subfamily K member 16-like
LOC119718893	transport and Golgi organization protein 1 homolog
LOC119718894	integrin beta-3-like
LOC119718895	E3 ubiquitin-protein ligase pellino homolog 1-like
LOC119718896	thymus-specific serine protease-like
LOC119718898	gamma-butyrobetaine dioxygenase-like
LOC119718899	uncharacterized LOC119718899
LOC119718902	adhesion G-protein coupled receptor G7-like
LOC119718903	translation initiation factor IF-2-like
LOC119718904	uncharacterized LOC119718904
LOC119718905	zygotic DNA replication licensing factor mcm6-B-like
LOC119718906	uncharacterized protein HI_0077-like
LOC119718907	branched-chain-amino-acid aminotransferase-like protein 2
LOC119718908	cytochrome c oxidase assembly factor 3, mitochondrial-like
LOC119718909	2'-5'-oligoadenylate synthase 1A-like
LOC119718910	poly [ADP-ribose] polymerase 1-like
LOC119718911	uncharacterized LOC119718911
LOC119718912	band 4.1-like protein 3
LOC119718913	lysosomal acid glucosylceramidase-like
LOC119718914	lysosomal acid glucosylceramidase-like
LOC119718915	eukaryotic translation initiation factor 4B-like
LOC119718916	NAD-dependent protein deacetylase sirtuin-3-like
LOC119718917	transcription factor SPT20 homolog
LOC119718920	somatostatin receptor type 5-like
LOC119718922	histamine N-methyltransferase-like
LOC119718923	uncharacterized LOC119718923
LOC119718925	uncharacterized LOC119718925
LOC119718926	homeobox protein engrailed-1a-like
LOC119718927	cholesterol 24-hydroxylase-like
LOC119718928	uncharacterized LOC119718928
LOC119718932	sushi domain-containing protein 2-like
LOC119718948	sushi domain-containing protein 2-like
LOC119718964	sushi domain-containing protein 2-like
LOC119718980	sushi domain-containing protein 2-like
LOC119718996	uncharacterized LOC119718996
LOC119719012	uncharacterized LOC119719012
LOC119719066	allatostatin-A receptor-like
LOC119719067	synembryn-A-like
LOC119719068	melanopsin-B-like
LOC119719069	octopamine receptor Oamb-like
LOC119719070	beta-4C adrenergic receptor-like
LOC119719071	uncharacterized LOC119719071
LOC119719072	uncharacterized LOC119719072
LOC119719073	uncharacterized LOC119719073
LOC119719074	ATP-citrate synthase-like
LOC119719075	ficolin-1-B-like
LOC119719077	polyribonucleotide 5'-hydroxyl-kinase Clp1-like
LOC119719078	uncharacterized LOC119719078
LOC119719079	E3 ubiquitin-protein ligase TRIM56-like
LOC119719080	cholesterol 24-hydroxylase-like
LOC119719081	growth/differentiation factor 8-like
LOC119719082	protein Abitram-like
LOC119719083	uncharacterized LOC119719083
LOC119719084	transformation/transcription domain-associated protein-like
LOC119719085	plexin domain-containing protein 2-like
LOC119719087	G-protein coupled receptor 54-like
LOC119719088	very low-density lipoprotein receptor-like
LOC119719090	uncharacterized LOC119719090
LOC119719091	ficolin-2-like
LOC119719092	fibrinogen C domain-containing protein 1-like
LOC119719094	uncharacterized LOC119719094
LOC119719096	uncharacterized LOC119719096
LOC119719097	NLR family CARD domain-containing protein 4-like
LOC119719099	uncharacterized LOC119719099
LOC119719100	polycystic kidney disease protein 1-like 1
LOC119719101	myosin light chain kinase, smooth muscle-like
LOC119719102	uncharacterized LOC119719102
LOC119719103	uncharacterized LOC119719103
LOC119719104	repressed by EFG1 protein 1-like
LOC119719105	uncharacterized LOC119719105
LOC119719106	branched-chain-amino-acid aminotransferase-like protein 2
LOC119719107	S-acyl fatty acid synthase thioesterase, medium chain-like
LOC119719108	very low-density lipoprotein receptor-like
LOC119719109	organic cation transporter protein-like
LOC119719110	beta-4C adrenergic receptor-like
LOC119719111	rhodopsin, GQ-coupled-like
LOC119719112	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like
LOC119719113	synaptotagmin-1-like
LOC119719114	26S proteasome non-ATPase regulatory subunit 10-like
LOC119719115	uncharacterized LOC119719115
LOC119719116	uncharacterized LOC119719116
LOC119719117	uncharacterized LOC119719117
LOC119719118	uncharacterized LOC119719118
LOC119719120	uncharacterized LOC119719120
LOC119719122	organic cation transporter protein-like
LOC119719123	organic cation transporter protein-like
LOC119719124	titin-like
LOC119719125	protein YAE1 homolog
LOC119719126	coenzyme Q-binding protein COQ10 homolog A, mitochondrial-like
LOC119719127	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase 3-like
LOC119719128	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase 1-like
LOC119719130	uncharacterized LOC119719130
LOC119719131	uncharacterized LOC119719131
LOC119719132	ubiquitin carboxyl-terminal hydrolase MINDY-3-like
LOC119719133	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4-like
LOC119719135	piwi-like protein 1
LOC119719136	alpha-1D adrenergic receptor-like
LOC119719137	adenylate cyclase type 5-like
LOC119719138	adenylate cyclase type 6-like
LOC119719139	BMP and activin membrane-bound inhibitor homolog
LOC119719140	integrin alpha-6-like
LOC119719141	lysophospholipid acyltransferase 5-like
LOC119719142	meiosis regulator and mRNA stability factor 1-like
LOC119719143	zinc finger BED domain-containing protein 4-like
LOC119719144	G-protein coupled receptor moody-like
LOC119719145	coiled-coil domain-containing protein 93-like
LOC119719146	uncharacterized LOC119719146
LOC119719147	polypeptide N-acetylgalactosaminyltransferase 13-like
LOC119719148	uncharacterized LOC119719148
LOC119719149	2-hydroxyacyl-CoA lyase 1-like
LOC119719150	ankyrin repeat domain-containing protein 6-like
LOC119719152	CCR4-NOT transcription complex subunit 9
LOC119719153	uncharacterized LOC119719153
LOC119719154	formin-binding protein 4-like
LOC119719155	neutral and basic amino acid transport protein rBAT-like
LOC119719156	juvenile hormone acid O-methyltransferase-like
LOC119719157	COMM domain-containing protein 3-like
LOC119719159	juvenile hormone acid O-methyltransferase-like
LOC119719160	juvenile hormone acid O-methyltransferase-like
LOC119719161	lactadherin-like
LOC119719162	juvenile hormone acid O-methyltransferase-like
LOC119719163	juvenile hormone acid O-methyltransferase-like
LOC119719164	organic cation transporter protein-like
LOC119719166	octopamine receptor Oamb-like
LOC119719167	E3 ubiquitin-protein ligase MARCHF4-like
LOC119719169	histone deacetylase 4-like
LOC119719172	RNA-binding motif, single-stranded-interacting protein 1-like
LOC119719173	monocarboxylate transporter 12-like
LOC119719174	band 4.1-like protein 5
LOC119719175	transmembrane protein 177-like
LOC119719176	organic cation transporter protein-like
LOC119719177	ankyrin repeat domain-containing protein 31-like
LOC119719178	monocarboxylate transporter 13-like
LOC119719179	phospholipase DDHD2-like
LOC119719180	MOB-like protein phocein
LOC119719181	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase 1-like
LOC119719182	partner of bursicon-like
LOC119719183	protein trapped in endoderm-1-like
LOC119719184	natural resistance-associated macrophage protein 2-like
LOC119719185	uncharacterized LOC119719185
LOC119719186	actin, cytoplasmic
LOC119719188	nuclease EXOG, mitochondrial-like
LOC119719190	alpha-1D adrenergic receptor-like
LOC119719191	calpain-7-like
LOC119719192	melatonin receptor type 1B-B-like
LOC119719193	ly6/PLAUR domain-containing protein 6-like
LOC119719194	syndetin-like
LOC119719195	3-ketoacyl-CoA thiolase B, peroxisomal-like
LOC119719196	octopamine receptor 1-like
LOC119719197	monocarboxylate transporter 12-like
LOC119719198	melatonin receptor type 1B-B-like
LOC119719199	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase-like
LOC119719200	melanopsin-A-like
LOC119719201	G-protein coupled receptor moody-like
LOC119719202	alpha-1D adrenergic receptor-like
LOC119719203	polycomb group protein Psc-like
LOC119719204	polycomb complex protein BMI-1-like
LOC119719205	polyunsaturated fatty acid 5-lipoxygenase-like
LOC119719206	monocarboxylate transporter 13-like
LOC119719208	aladin-like
LOC119719209	sorcin-like
LOC119719210	5'-AMP-activated protein kinase subunit gamma-1-like
LOC119719211	aquaporin-12A-like
LOC119719213	cullin-2-like
LOC119719214	cullin-2-like
LOC119719215	WAS/WASL-interacting protein family member 1-like
LOC119719216	polypeptide N-acetylgalactosaminyltransferase 13-like
LOC119719217	interferon-induced helicase C domain-containing protein 1-like
LOC119719218	octopamine receptor Oamb-like
LOC119719219	fibropellin-3-like
LOC119719220	urea transporter 1-like
LOC119719221	lysine--tRNA ligase-like
LOC119719222	RNA-binding protein 33-like
LOC119719223	piwi-like protein 1
LOC119719226	A disintegrin and metalloproteinase with thrombospondin motifs 4-like
LOC119719227	bifunctional coenzyme A synthase-like
LOC119719228	protein kinase C and casein kinase substrate in neurons protein 2-like
LOC119719229	uncharacterized protein C20orf96-like
LOC119719230	serine/threonine-protein kinase OSR1-like
LOC119719231	linear gramicidin dehydrogenase LgrE-like
LOC119719232	polypeptide N-acetylgalactosaminyltransferase 1-like
LOC119719233	cytochrome P450 4F1-like
LOC119719234	leucine-rich repeat flightless-interacting protein 2-like
LOC119719235	uncharacterized LOC119719235
LOC119719236	protein chiffon-like
LOC119719237	26S proteasome non-ATPase regulatory subunit 11A-like
LOC119719238	multiple myeloma tumor-associated protein 2 homolog
LOC119719239	uncharacterized LOC119719239
LOC119719240	uncharacterized LOC119719240
LOC119719241	melanocortin receptor 4-like
LOC119719242	melanocortin receptor 4-like
LOC119719244	melanocortin receptor 4-like
LOC119719246	neuropeptides capa receptor-like
LOC119719247	protein LSM12 homolog
LOC119719249	organic cation transporter protein-like
LOC119719250	organic cation transporter protein-like
LOC119719251	organic cation transporter protein-like
LOC119719252	A disintegrin and metalloproteinase with thrombospondin motifs 4-like
LOC119719253	low-density lipoprotein receptor-related protein 4-like
LOC119719254	corticotropin-releasing factor receptor 1-like
LOC119719255	serine/threonine-protein kinase 17A-like
LOC119719256	deleted in lung and esophageal cancer protein 1-like
LOC119719257	uncharacterized LOC119719257
LOC119719258	tyrosine-protein phosphatase non-receptor type 4-like
LOC119719259	lanosterol 14-alpha demethylase-like
LOC119719260	SAP domain-containing ribonucleoprotein-like
LOC119719261	A disintegrin and metalloproteinase with thrombospondin motifs 4-like
LOC119719262	ATP-binding cassette sub-family F member 2-like
LOC119719263	cytochrome b561-like
LOC119719264	cytochrome b561-like
LOC119719265	mucin-2-like
LOC119719266	uncharacterized LOC119719266
LOC119719267	monocarboxylate transporter 13-like
LOC119719268	thyrotropin-releasing hormone receptor-like
LOC119719269	histamine H2 receptor-like
LOC119719271	melanopsin-A-like
LOC119719272	E3 ubiquitin-protein ligase HECW1-like
LOC119719273	cytidine monophosphate-N-acetylneuraminic acid hydroxylase-like
LOC119719274	putative sodium-coupled neutral amino acid transporter 11
LOC119719275	uncharacterized LOC119719275
LOC119719276	RNA-binding protein 45-like
LOC119719277	tRNA N(3)-methylcytidine methyltransferase METTL2-like
LOC119719278	PAN2-PAN3 deadenylation complex catalytic subunit PAN2-like
LOC119719279	vacuolar-sorting protein SNF8-like
LOC119719280	uncharacterized LOC119719280
LOC119719281	mucin-2-like
LOC119719282	uncharacterized LOC119719282
LOC119719283	mitotic-spindle organizing protein 1B-like
LOC119719284	melanopsin-A-like
LOC119719285	adhesion G-protein coupled receptor G6-like
LOC119719286	tolloid-like protein 1
LOC119719287	bone morphogenetic protein 1-like
LOC119719288	E3 ubiquitin-protein ligase TRIM33-like
LOC119719289	uncharacterized LOC119719289
LOC119719290	mucin-5AC-like
LOC119719291	uncharacterized LOC119719291
LOC119719292	proton-coupled folate transporter-like
LOC119719293	proton-coupled folate transporter-like
LOC119719294	serine/threonine-protein kinase tousled-like 2
LOC119719295	coiled-coil domain-containing protein 47-like
LOC119719296	uncharacterized LOC119719296
LOC119719297	trissin receptor-like
LOC119719298	polypeptide N-acetylgalactosaminyltransferase 11-like
LOC119719299	uncharacterized LOC119719299
LOC119719300	coiled-coil domain-containing protein 89-like
LOC119719301	uncharacterized oxidoreductase YhdF-like
LOC119719302	piwi-like protein 1
LOC119719303	phosphopantetheine adenylyltransferase 1-like
LOC119719306	adenosine receptor A2b-like
LOC119719307	cilia- and flagella-associated protein 221-like
LOC119719308	actin, cytoplasmic-like
LOC119719309	actin-104-like
LOC119719310	F-box/WD repeat-containing protein 7-like
LOC119719311	actin, clone 302-like
LOC119719312	actin, cytoplasmic-like
LOC119719313	actin, cytoplasmic-like
LOC119719314	kinetochore protein Spc25-like
LOC119719315	ras-related protein Rab-18-like
LOC119719316	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8
LOC119719317	uncharacterized protein C20orf96-like
LOC119719318	integrin alpha-9-like
LOC119719319	serine-enriched protein-like
LOC119719320	uncharacterized LOC119719320
LOC119719321	rhodopsin, GQ-coupled-like
LOC119719322	octopamine receptor Oamb-like
LOC119719323	melanopsin-like
LOC119719328	ceramide kinase-like protein
LOC119719329	sugar transporter SWEET1-like
LOC119719330	uncharacterized LOC119719330
LOC119719332	tetratricopeptide repeat protein 19, mitochondrial-like
LOC119719333	probable proline iminopeptidase
LOC119719335	tripartite motif-containing protein 2-like
LOC119719336	dynein heavy chain domain-containing protein 1-like
LOC119719337	cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like
LOC119719339	sperm-associated antigen 6
LOC119719340	ATP-binding cassette sub-family B member 6, mitochondrial-like
LOC119719341	UDP-galactose:fucoside alpha-3-galactosyltransferase-like
LOC119719344	tRNA (cytosine(72)-C(5))-methyltransferase NSUN6-like
LOC119719345	general transcription factor 3C polypeptide 4-like
LOC119719346	pyridoxine-5'-phosphate oxidase-like
LOC119719348	histidine protein methyltransferase 1 homolog
LOC119719349	serine/threonine-protein kinase Nek10-like
LOC119719350	sentrin-specific protease 1-like
LOC119719351	hydroxylysine kinase-like
LOC119719353	hydroxylysine kinase-like
LOC119719354	post-GPI attachment to proteins factor 3-like
LOC119719355	coiled-coil domain-containing protein 173-like
LOC119719357	ciliogenesis-associated TTC17-interacting protein-like
LOC119719358	alpha-1D adrenergic receptor-like
LOC119719359	G-protein coupled receptor moody-like
LOC119719360	melatonin receptor type 1B-A-like
LOC119719361	melatonin receptor type 1B-A-like
LOC119719362	tRNA wybutosine-synthesizing protein 4-like
LOC119719364	transmembrane protein 203-like
LOC119719365	transformer-2 protein homolog alpha-like
LOC119719366	little elongation complex subunit 2-like
LOC119719367	UPF0565 protein C2orf69 homolog
LOC119719369	uncharacterized LOC119719369
LOC119719370	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
LOC119719371	mediator of RNA polymerase II transcription subunit 16-like
LOC119719373	uncharacterized LOC119719373
LOC119719375	kinesin-like protein KIF28P
LOC119719376	uncharacterized LOC119719376
LOC119719377	116 kDa U5 small nuclear ribonucleoprotein component-like
LOC119719378	unconventional myosin-Id-like
LOC119719380	UDP-galactose:fucoside alpha-3-galactosyltransferase-like
LOC119719381	unconventional myosin-X-like
LOC119719382	flocculation protein FLO11-like
LOC119719383	beta-1 adrenergic receptor-like
LOC119719386	insulin-like growth factor 2 mRNA-binding protein 2
LOC119719387	mannosylglucosyl-3-phosphoglycerate phosphatase-like
LOC119719388	ras-associated and pleckstrin homology domains-containing protein 1-like
LOC119719389	galanin receptor 2b-like
LOC119719390	myosin-10-like
LOC119719391	PMS1 protein homolog 1-like
LOC119719392	branched-chain-amino-acid aminotransferase-like protein 2
LOC119719393	SAM pointed domain-containing Ets transcription factor-like
LOC119719394	pyridoxal phosphate phosphatase PHOSPHO2-like
LOC119719395	ORM1-like protein 2
LOC119719396	cysteine-rich motor neuron 1 protein-like
LOC119719397	glycine--tRNA ligase-like
LOC119719398	integral membrane protein GPR155-like
LOC119719399	SCO-spondin-like
LOC119719400	probable ATP-dependent RNA helicase DHX58
LOC119719402	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4-like
LOC119719404	uncharacterized LOC119719404
LOC119719405	rhodopsin, GQ-coupled-like
LOC119719406	hypoxanthine-guanine phosphoribosyltransferase-like
LOC119719407	partner of bursicon-like
LOC119719408	organic cation transporter protein-like
LOC119719409	organic cation transporter protein-like
LOC119719410	uncharacterized LOC119719410
LOC119719412	NLR family CARD domain-containing protein 4-like
LOC119719415	insulin-induced gene 2 protein-like
LOC119719416	sterol O-acyltransferase 1-like
LOC119719419	cilia- and flagella-associated protein 69-like
LOC119719421	BMP and activin membrane-bound inhibitor homolog
LOC119719422	transcriptional repressor NF-X1-like
LOC119719423	latrophilin receptor-like protein A
LOC119719424	rRNA N6-adenosine-methyltransferase METTL5-like
LOC119719425	ribonuclease P protein subunit p25-like protein
LOC119719426	actin-3-like
LOC119719427	actin-like
LOC119719428	cysteine-rich motor neuron 1 protein-like
LOC119719429	transmembrane protein 198-like
LOC119719430	uncharacterized LOC119719430
LOC119719431	protein boule-like
LOC119719432	kelch-like protein diablo
LOC119719433	actin-related protein 2-B
LOC119719434	piwi-like protein 1
LOC119719438	mucin-2-like
LOC119719439	integrin alpha-8-like
LOC119719444	small ubiquitin-related modifier-like
LOC119719445	male-specific lethal 1 homolog
LOC119719446	phosphatidylinositol 5-phosphate 4-kinase type-2 beta-like
LOC119719447	G-protein coupled receptor 54-like
LOC119719448	NACHT, LRR and PYD domains-containing protein 3-like
LOC119719449	dnaJ homolog subfamily B member 6-like
LOC119719450	uncharacterized LOC119719450
LOC119719451	golgin subfamily A member 4-like
LOC119719452	neurogenic differentiation factor 2-like
LOC119719453	uncharacterized LOC119719453
LOC119719454	uncharacterized LOC119719454
LOC119719455	piwi-like protein 1
LOC119719456	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4-like
LOC119719457	uncharacterized LOC119719457
LOC119719458	uncharacterized LOC119719458
LOC119719459	uncharacterized LOC119719459
LOC119719460	general transcription and DNA repair factor IIH helicase subunit XPB-like
LOC119719461	uncharacterized LOC119719461
LOC119719462	CDGSH iron-sulfur domain-containing protein 3, mitochondrial-like
LOC119719463	salivary glue protein Sgs-3-like
LOC119719464	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4-like
LOC119719465	uncharacterized LOC119719465
LOC119719467	uncharacterized LOC119719467
LOC119719469	uncharacterized LOC119719469
LOC119719470	meiosis regulator and mRNA stability factor 1-like
LOC119719471	uncharacterized LOC119719471
LOC119719472	galanin receptor 2a-like
LOC119719473	synaptonemal complex protein 3-like
LOC119719474	mucin-5AC-like
LOC119719475	inositol hexakisphosphate kinase 3-like
LOC119719476	GATOR complex protein MIOS-like
LOC119719477	replication protein A 14 kDa subunit-like
LOC119719478	cyclin-dependent kinase 5 activator 1-like
LOC119719479	NLR family CARD domain-containing protein 4-like
LOC119719482	actin, cytoplasmic-like
LOC119719483	piwi-like protein 1
LOC119719484	THAP domain-containing protein 11-like
LOC119719485	piwi-like protein 1
LOC119719486	D-3-phosphoglycerate dehydrogenase-like
LOC119719487	cation-dependent mannose-6-phosphate receptor-like
LOC119719488	ubiquitin carboxyl-terminal hydrolase 40-like
LOC119719489	asparagine synthetase [glutamine-hydrolyzing]-like
LOC119719490	uncharacterized LOC119719490
LOC119719491	uncharacterized LOC119719491
LOC119719493	uncharacterized LOC119719493
LOC119719494	cytochrome P450 2U1-like
